hotel,isCanceled,leadTime,arrivalMonth,arrivalDay,marketSegment,bookingChanges,customerType
Resort Hotel,0,23,1,14,Direct,0,Transient
Resort Hotel,1,44,5,6,Online TA,0,Transient
Resort Hotel,1,54,5,13,Online TA,0,Transient
Resort Hotel,1,46,5,22,Online TA,0,Transient
Resort Hotel,1,18,5,27,Online TA,0,Transient
Resort Hotel,1,18,5,27,Online TA,0,Transient
Resort Hotel,1,34,6,2,Direct,0,Transient
Resort Hotel,1,3,6,22,Online TA,0,Transient
Resort Hotel,1,24,7,7,Online TA,0,Transient
Resort Hotel,1,22,7,9,Direct,0,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,22,7,29,Direct,2,Transient
Resort Hotel,1,91,8,7,Online TA,0,Transient
Resort Hotel,1,22,8,8,Online TA,0,Transient
Resort Hotel,1,22,8,8,Online TA,0,Transient
Resort Hotel,1,77,8,18,Online TA,1,Transient
Resort Hotel,1,26,8,20,Online TA,0,Transient
Resort Hotel,1,123,8,28,Online TA,0,Transient
Resort Hotel,1,124,8,29,Online TA,1,Transient
Resort Hotel,0,542,9,26,Groups,1,Transient-Party
Resort Hotel,1,36,9,27,Online TA,0,Transient
Resort Hotel,1,69,9,30,Online TA,0,Transient
Resort Hotel,1,139,12,1,Online TA,0,Transient
Resort Hotel,1,135,12,1,Online TA,0,Transient
Resort Hotel,1,75,12,6,Online TA,0,Transient
Resort Hotel,1,76,12,24,Direct,0,Transient
Resort Hotel,0,49,8,29,Direct,1,Transient
Resort Hotel,0,17,1,2,Online TA,1,Transient
Resort Hotel,0,0,1,8,Offline TA/TO,0,Transient
Resort Hotel,0,0,1,4,Direct,5,Transient
Resort Hotel,0,11,1,8,Online TA,0,Transient
Resort Hotel,0,3,1,8,Online TA,0,Transient
Resort Hotel,0,0,1,7,Offline TA/TO,4,Transient
Resort Hotel,0,1,1,22,Direct,0,Transient
Resort Hotel,0,0,2,3,Online TA,2,Transient
Resort Hotel,0,0,2,12,Online TA,0,Transient
Resort Hotel,0,0,2,20,Direct,0,Transient
Resort Hotel,0,24,2,22,Online TA,0,Transient
Resort Hotel,0,24,2,22,Online TA,0,Transient
Resort Hotel,0,4,3,20,Offline TA/TO,0,Transient
Resort Hotel,0,6,3,28,Online TA,1,Transient
Resort Hotel,0,2,4,4,Online TA,0,Transient
Resort Hotel,0,1,4,6,Direct,0,Transient
Resort Hotel,0,19,4,7,Direct,0,Transient
Resort Hotel,0,26,4,9,Direct,3,Transient
Resort Hotel,0,27,4,10,Direct,3,Transient
Resort Hotel,0,8,4,14,Online TA,0,Transient
Resort Hotel,0,79,4,22,Direct,0,Transient
Resort Hotel,0,79,4,22,Direct,0,Transient
Resort Hotel,0,9,4,25,Online TA,0,Transient
Resort Hotel,0,113,4,26,Online TA,1,Transient
Resort Hotel,0,113,4,26,Online TA,0,Transient
Resort Hotel,0,179,4,27,Online TA,0,Transient
Resort Hotel,0,179,4,27,Online TA,0,Transient
Resort Hotel,0,1,4,27,Online TA,0,Transient
Resort Hotel,0,33,4,25,Offline TA/TO,0,Transient
Resort Hotel,0,0,4,30,Online TA,0,Transient
Resort Hotel,0,0,5,1,Online TA,0,Transient
Resort Hotel,0,13,5,1,Online TA,0,Transient
Resort Hotel,0,67,5,6,Online TA,0,Transient
Resort Hotel,0,77,5,10,Online TA,0,Transient
Resort Hotel,0,68,5,20,Online TA,1,Transient
Resort Hotel,0,129,5,22,Online TA,0,Transient
Resort Hotel,0,40,5,23,Online TA,1,Transient
Resort Hotel,0,129,5,22,Online TA,0,Transient
Resort Hotel,0,49,5,25,Offline TA/TO,0,Transient-Party
Resort Hotel,0,49,5,25,Offline TA/TO,0,Transient-Party
Resort Hotel,0,39,5,28,Online TA,0,Transient
Resort Hotel,0,5,5,28,Online TA,0,Transient
Resort Hotel,0,136,5,29,Direct,0,Transient
Resort Hotel,0,59,5,29,Direct,3,Transient
Resort Hotel,0,65,5,30,Online TA,0,Transient
Resort Hotel,0,1,6,2,Direct,0,Transient
Resort Hotel,0,2,6,4,Direct,0,Group
Resort Hotel,0,34,6,2,Direct,0,Transient
Resort Hotel,0,34,6,2,Direct,0,Transient
Resort Hotel,0,129,6,5,Online TA,0,Transient
Resort Hotel,0,124,6,6,Direct,1,Transient
Resort Hotel,0,124,6,6,Direct,1,Transient
Resort Hotel,0,0,6,4,Online TA,1,Transient
Resort Hotel,0,0,6,13,Online TA,0,Transient
Resort Hotel,0,0,6,13,Direct,0,Transient
Resort Hotel,0,74,6,13,Online TA,2,Transient
Resort Hotel,0,56,6,13,Online TA,1,Transient
Resort Hotel,0,56,6,13,Online TA,1,Transient
Resort Hotel,0,160,6,13,Direct,1,Transient
Resort Hotel,0,5,6,20,Direct,1,Transient
Resort Hotel,0,161,6,15,Online TA,0,Transient
Resort Hotel,0,57,6,17,Direct,1,Transient
Resort Hotel,0,57,6,17,Direct,1,Transient
Resort Hotel,0,48,6,20,Online TA,0,Transient-Party
Resort Hotel,0,48,6,20,Online TA,0,Transient-Party
Resort Hotel,0,0,6,22,Direct,0,Transient
Resort Hotel,0,8,6,23,Direct,0,Transient
Resort Hotel,0,3,6,25,Online TA,0,Transient
Resort Hotel,0,25,6,25,Online TA,0,Transient
Resort Hotel,0,170,7,2,Online TA,0,Transient
Resort Hotel,0,170,7,2,Online TA,0,Transient
Resort Hotel,0,0,7,3,Online TA,0,Transient
Resort Hotel,0,25,7,3,Online TA,0,Transient
Resort Hotel,0,29,7,5,Online TA,0,Transient
Resort Hotel,0,8,7,5,Online TA,0,Transient-Party
Resort Hotel,0,8,7,5,Online TA,0,Transient-Party
Resort Hotel,0,61,7,5,Direct,0,Transient
Resort Hotel,0,61,7,5,Direct,1,Transient
Resort Hotel,0,14,7,7,Online TA,0,Transient
Resort Hotel,0,30,7,7,Online TA,0,Transient
Resort Hotel,0,0,7,13,Direct,0,Transient
Resort Hotel,0,2,7,14,Direct,0,Transient
Resort Hotel,0,38,7,12,Direct,0,Transient
Resort Hotel,0,0,7,15,Online TA,0,Transient
Resort Hotel,0,25,7,15,Direct,0,Transient
Resort Hotel,0,22,7,14,Direct,1,Transient
Resort Hotel,0,14,7,18,Online TA,0,Transient
Resort Hotel,0,97,7,21,Online TA,6,Transient
Resort Hotel,0,94,7,20,Online TA,1,Transient
Resort Hotel,0,130,7,25,Online TA,4,Transient
Resort Hotel,0,61,7,26,Online TA,0,Transient
Resort Hotel,0,92,7,26,Online TA,0,Transient
Resort Hotel,0,1,7,30,Direct,0,Transient
Resort Hotel,0,38,7,28,Online TA,0,Transient
Resort Hotel,0,1,7,30,Direct,0,Transient
Resort Hotel,0,0,7,31,Direct,0,Transient
Resort Hotel,0,7,7,29,Direct,0,Transient
Resort Hotel,0,0,7,26,Direct,0,Transient
Resort Hotel,0,27,7,29,Online TA,0,Transient
Resort Hotel,0,0,8,1,Online TA,0,Transient
Resort Hotel,0,113,7,26,Direct,0,Transient
Resort Hotel,0,113,7,26,Direct,0,Transient
Resort Hotel,0,23,8,6,Online TA,1,Transient
Resort Hotel,0,151,8,8,Online TA,0,Transient
Resort Hotel,0,151,8,8,Online TA,0,Transient
Resort Hotel,0,22,8,12,Online TA,0,Transient
Resort Hotel,0,37,8,10,Online TA,0,Transient
Resort Hotel,0,32,8,12,Online TA,0,Transient
Resort Hotel,0,12,8,16,Online TA,0,Transient
Resort Hotel,0,0,8,23,Online TA,0,Transient
Resort Hotel,0,217,8,22,Online TA,0,Transient
Resort Hotel,0,25,8,24,Online TA,0,Transient
Resort Hotel,0,69,8,25,Online TA,0,Transient
Resort Hotel,0,18,8,26,Online TA,1,Transient
Resort Hotel,0,15,8,27,Online TA,0,Transient
Resort Hotel,0,95,8,30,Direct,1,Transient
Resort Hotel,0,219,8,29,Offline TA/TO,0,Transient
Resort Hotel,0,219,8,29,Offline TA/TO,0,Transient
Resort Hotel,0,219,8,29,Offline TA/TO,0,Transient
Resort Hotel,0,1,9,2,Online TA,0,Transient
Resort Hotel,0,1,9,3,Direct,0,Transient
Resort Hotel,0,16,9,2,Direct,0,Transient
Resort Hotel,0,1,9,3,Online TA,0,Transient
Resort Hotel,0,50,8,31,Direct,0,Transient
Resort Hotel,0,61,9,3,Online TA,0,Transient
Resort Hotel,0,237,9,4,Direct,1,Transient
Resort Hotel,0,211,9,3,Online TA,2,Transient
Resort Hotel,0,228,9,2,Direct,0,Transient
Resort Hotel,0,54,9,10,Offline TA/TO,1,Transient
Resort Hotel,0,205,9,8,Direct,0,Transient
Resort Hotel,0,71,9,12,Online TA,1,Transient
Resort Hotel,0,10,9,13,Direct,1,Transient
Resort Hotel,0,145,9,15,Online TA,0,Transient
Resort Hotel,0,55,9,17,Direct,4,Transient
Resort Hotel,0,35,9,18,Online TA,0,Transient
Resort Hotel,0,146,9,29,Offline TA/TO,0,Transient-Party
Resort Hotel,0,146,9,29,Offline TA/TO,1,Transient-Party
Resort Hotel,0,146,9,29,Offline TA/TO,0,Transient-Party
Resort Hotel,0,146,9,29,Offline TA/TO,0,Transient-Party
Resort Hotel,0,146,9,29,Offline TA/TO,0,Transient-Party
Resort Hotel,0,146,9,29,Offline TA/TO,0,Transient-Party
Resort Hotel,0,0,9,30,Online TA,0,Transient
Resort Hotel,0,12,10,1,Direct,0,Transient
Resort Hotel,0,12,10,2,Direct,0,Transient
Resort Hotel,0,0,10,4,Online TA,0,Transient
Resort Hotel,0,0,10,5,Direct,0,Transient
Resort Hotel,0,0,10,3,Direct,1,Transient
Resort Hotel,0,59,10,5,Direct,0,Transient
Resort Hotel,0,17,10,7,Online TA,0,Transient
Resort Hotel,0,100,10,6,Direct,0,Transient
Resort Hotel,0,12,10,10,Online TA,0,Transient
Resort Hotel,0,2,10,11,Online TA,0,Transient
Resort Hotel,0,0,10,11,Direct,0,Transient
Resort Hotel,0,0,10,15,Direct,0,Transient
Resort Hotel,0,68,10,16,Offline TA/TO,0,Transient
Resort Hotel,0,3,10,15,Online TA,0,Transient
Resort Hotel,0,2,10,17,Online TA,0,Transient
Resort Hotel,0,1,10,19,Online TA,0,Group
Resort Hotel,0,28,10,18,Online TA,0,Transient
Resort Hotel,0,28,10,18,Online TA,0,Transient
Resort Hotel,0,28,10,18,Online TA,0,Transient
Resort Hotel,0,28,10,18,Online TA,0,Transient
Resort Hotel,0,28,10,18,Online TA,0,Transient
Resort Hotel,0,0,10,26,Online TA,0,Transient
Resort Hotel,0,0,11,2,Direct,1,Transient
Resort Hotel,0,108,10,31,Online TA,2,Transient
Resort Hotel,0,25,11,10,Online TA,0,Transient
Resort Hotel,0,13,11,7,Offline TA/TO,1,Transient
Resort Hotel,0,51,11,11,Online TA,1,Transient
Resort Hotel,0,113,11,13,Online TA,0,Transient
Resort Hotel,0,54,11,19,Offline TA/TO,0,Transient
Resort Hotel,0,0,12,1,Online TA,0,Transient
Resort Hotel,0,1,12,3,Direct,1,Transient
Resort Hotel,0,155,12,5,Online TA,0,Transient
Resort Hotel,0,0,12,12,Online TA,0,Transient
Resort Hotel,0,16,12,16,Offline TA/TO,0,Transient
Resort Hotel,0,5,12,18,Online TA,0,Transient
Resort Hotel,0,35,12,19,Offline TA/TO,0,Transient
Resort Hotel,0,0,12,20,Direct,0,Transient
Resort Hotel,0,36,12,27,Direct,0,Transient
Resort Hotel,0,16,12,29,Online TA,0,Transient
Resort Hotel,0,10,12,31,Online TA,0,Transient
Resort Hotel,0,54,12,30,Online TA,0,Transient
City Hotel,0,30,1,1,Online TA,0,Transient
City Hotel,0,0,1,2,Online TA,0,Transient
City Hotel,0,2,1,3,Online TA,0,Transient
City Hotel,0,1,1,6,Online TA,0,Transient-Party
City Hotel,0,23,1,11,Online TA,0,Transient
City Hotel,0,23,1,11,Online TA,0,Transient
City Hotel,0,9,1,15,Online TA,0,Transient
City Hotel,0,11,1,17,Online TA,0,Transient
City Hotel,1,11,2,1,Online TA,0,Transient
City Hotel,0,53,2,4,Direct,0,Transient
City Hotel,0,31,2,5,Online TA,0,Transient
City Hotel,0,31,2,5,Online TA,0,Transient
City Hotel,1,9,2,5,Direct,0,Transient
City Hotel,1,35,2,11,Online TA,0,Transient
City Hotel,0,37,2,12,Online TA,0,Transient
City Hotel,1,22,2,12,Online TA,0,Transient
City Hotel,1,1,2,22,Online TA,0,Transient
City Hotel,1,10,2,25,Online TA,0,Transient
City Hotel,1,4,3,5,Online TA,0,Transient
City Hotel,1,70,3,9,Online TA,0,Transient
City Hotel,1,30,3,9,Online TA,0,Transient
City Hotel,1,29,3,9,Online TA,0,Transient
City Hotel,0,87,3,9,Online TA,0,Transient
City Hotel,1,35,3,10,Online TA,0,Transient
City Hotel,1,2,3,10,Online TA,0,Transient
City Hotel,1,69,3,12,Online TA,1,Transient
City Hotel,1,69,3,12,Online TA,1,Transient
City Hotel,1,69,3,12,Online TA,1,Transient
City Hotel,1,35,3,14,Online TA,0,Transient
City Hotel,0,72,3,16,Online TA,0,Transient
City Hotel,0,71,3,17,Online TA,1,Transient-Party
City Hotel,0,71,3,17,Online TA,0,Transient-Party
City Hotel,0,75,3,21,Online TA,1,Transient-Party
City Hotel,0,75,3,21,Online TA,0,Transient-Party
City Hotel,0,78,3,21,Online TA,0,Transient
City Hotel,0,89,3,21,Online TA,0,Transient
City Hotel,1,32,3,25,Online TA,0,Transient
City Hotel,0,86,3,26,Online TA,1,Transient
City Hotel,1,5,3,26,Online TA,0,Transient
City Hotel,1,68,3,29,Online TA,0,Transient
City Hotel,1,102,4,2,Direct,0,Transient
City Hotel,1,14,4,3,Online TA,0,Transient
City Hotel,1,79,4,3,Online TA,0,Transient
City Hotel,1,46,4,4,Online TA,0,Transient
City Hotel,0,113,4,4,Online TA,0,Transient
City Hotel,1,95,4,5,Online TA,0,Transient
City Hotel,1,107,4,5,Online TA,0,Transient
City Hotel,1,77,4,8,Online TA,0,Transient
City Hotel,1,64,4,11,Online TA,0,Transient
City Hotel,1,19,4,14,Online TA,0,Transient
City Hotel,1,82,4,16,Online TA,0,Transient
City Hotel,1,56,4,17,Online TA,0,Transient
City Hotel,1,5,4,23,Direct,0,Transient
City Hotel,1,80,4,24,Online TA,1,Transient
City Hotel,1,36,4,29,Offline TA/TO,0,Transient
City Hotel,1,37,4,29,Online TA,0,Transient
City Hotel,1,53,4,30,Direct,0,Transient
City Hotel,1,22,4,30,Online TA,0,Transient
City Hotel,1,36,4,30,Online TA,0,Transient
City Hotel,1,38,5,7,Online TA,0,Transient
City Hotel,1,49,5,7,Online TA,0,Transient
City Hotel,1,68,5,7,Online TA,0,Transient
City Hotel,1,65,5,9,Online TA,0,Transient
City Hotel,1,38,5,10,Online TA,0,Transient
City Hotel,1,130,5,12,Online TA,0,Transient
City Hotel,1,39,5,12,Online TA,0,Transient
City Hotel,0,129,5,13,Online TA,0,Transient
City Hotel,1,116,5,18,Online TA,1,Transient
City Hotel,1,81,5,19,Online TA,0,Transient
City Hotel,1,29,5,20,Online TA,0,Transient
City Hotel,1,23,5,21,Online TA,1,Transient
City Hotel,1,76,5,22,Online TA,0,Transient
City Hotel,0,169,5,25,Online TA,0,Transient-Party
City Hotel,0,169,5,25,Online TA,0,Transient-Party
City Hotel,1,144,5,27,Online TA,1,Transient
City Hotel,1,144,5,27,Online TA,1,Transient
City Hotel,1,144,5,27,Online TA,1,Transient
City Hotel,1,110,6,3,Online TA,0,Transient-Party
City Hotel,1,37,6,4,Online TA,0,Transient
City Hotel,1,31,6,8,Online TA,0,Transient
City Hotel,1,32,6,8,Online TA,0,Transient
City Hotel,1,16,6,11,Online TA,0,Transient
City Hotel,1,53,6,12,Direct,0,Transient
City Hotel,1,154,6,12,Online TA,2,Transient
City Hotel,1,153,6,12,Online TA,2,Transient
City Hotel,1,146,6,12,Online TA,0,Transient
City Hotel,1,160,6,12,Online TA,1,Transient-Party
City Hotel,1,159,6,12,Online TA,0,Transient-Party
City Hotel,1,120,6,13,Online TA,0,Transient-Party
City Hotel,1,28,6,21,Online TA,0,Transient
City Hotel,1,28,6,21,Online TA,0,Transient
City Hotel,1,37,6,26,Online TA,0,Transient
City Hotel,1,59,6,27,Online TA,0,Transient
City Hotel,1,59,6,27,Online TA,0,Transient
City Hotel,1,129,6,27,Online TA,0,Transient
City Hotel,1,89,6,27,Online TA,0,Transient
City Hotel,1,90,6,28,Online TA,0,Transient
City Hotel,1,123,6,28,Online TA,0,Transient
City Hotel,0,206,6,30,Online TA,0,Transient
City Hotel,1,113,7,1,Online TA,0,Transient
City Hotel,1,81,7,3,Online TA,0,Transient
City Hotel,1,101,7,3,Online TA,0,Transient
City Hotel,1,2,7,4,Direct,1,Transient
City Hotel,1,23,7,5,Online TA,0,Transient
City Hotel,1,11,7,5,Online TA,0,Transient
City Hotel,1,24,7,7,Direct,0,Transient
City Hotel,1,10,7,9,Direct,2,Transient
City Hotel,1,113,7,10,Online TA,0,Transient
City Hotel,1,126,7,11,Online TA,0,Transient-Party
City Hotel,1,128,7,11,Online TA,0,Transient-Party
City Hotel,1,60,7,11,Online TA,0,Transient
City Hotel,1,60,7,12,Online TA,0,Transient
City Hotel,1,92,7,14,Online TA,0,Transient
City Hotel,1,99,7,16,Online TA,0,Transient
City Hotel,1,134,7,17,Online TA,0,Transient
City Hotel,1,68,7,24,Online TA,0,Transient
City Hotel,1,131,7,25,Online TA,0,Transient
City Hotel,1,61,7,26,Online TA,0,Transient
City Hotel,1,0,8,1,Online TA,0,Transient
City Hotel,1,119,8,5,Online TA,0,Transient
City Hotel,1,116,8,5,Online TA,0,Transient
City Hotel,1,34,8,10,Online TA,0,Transient
City Hotel,1,34,8,10,Online TA,0,Transient
City Hotel,1,151,8,13,Online TA,1,Transient
City Hotel,1,143,8,13,Online TA,0,Transient
City Hotel,1,151,8,13,Online TA,1,Transient
City Hotel,1,143,8,13,Online TA,0,Transient
City Hotel,1,125,8,20,Online TA,0,Transient
City Hotel,1,94,8,24,Online TA,0,Transient
City Hotel,1,54,8,26,Online TA,1,Transient
City Hotel,1,127,8,26,Online TA,0,Transient
City Hotel,1,105,8,26,Online TA,0,Transient
City Hotel,1,105,8,26,Online TA,0,Transient
City Hotel,1,176,8,27,Online TA,0,Transient
City Hotel,1,52,8,27,Online TA,0,Transient
City Hotel,1,84,8,28,Online TA,0,Transient
City Hotel,1,50,9,2,Online TA,0,Transient
City Hotel,1,193,9,3,Online TA,1,Transient
City Hotel,1,29,9,4,Online TA,0,Transient
City Hotel,1,12,9,4,Online TA,0,Transient
City Hotel,1,62,9,4,Online TA,1,Transient
City Hotel,1,62,9,4,Online TA,0,Transient
City Hotel,1,243,9,4,Online TA,0,Transient
City Hotel,1,11,9,5,Online TA,0,Transient
City Hotel,1,49,9,5,Online TA,0,Transient
City Hotel,1,57,9,7,Online TA,0,Transient
City Hotel,1,25,9,9,Online TA,1,Transient
City Hotel,1,25,9,9,Online TA,1,Transient
City Hotel,1,56,9,11,Online TA,0,Transient
City Hotel,1,61,9,12,Online TA,0,Transient
City Hotel,1,198,9,15,Online TA,0,Transient
City Hotel,1,205,9,15,Online TA,3,Transient
City Hotel,1,2,9,16,Direct,0,Transient
City Hotel,1,5,9,17,Online TA,0,Transient
City Hotel,1,255,9,20,Online TA,4,Transient
City Hotel,1,14,9,22,Online TA,0,Transient
City Hotel,1,14,9,22,Online TA,0,Transient
City Hotel,1,14,9,22,Online TA,0,Transient
City Hotel,1,12,9,25,Online TA,0,Transient
City Hotel,1,13,9,25,Online TA,0,Transient
City Hotel,1,44,9,25,Online TA,0,Transient
City Hotel,1,253,9,26,Online TA,1,Transient
City Hotel,1,253,9,26,Online TA,1,Transient
City Hotel,0,274,9,27,Online TA,0,Transient
City Hotel,1,2,9,28,Online TA,1,Transient
City Hotel,1,47,10,2,Online TA,0,Transient
City Hotel,1,39,10,2,Online TA,1,Transient
City Hotel,1,26,10,2,Online TA,0,Transient
City Hotel,1,26,10,2,Online TA,0,Transient
City Hotel,1,31,10,2,Online TA,0,Transient
City Hotel,1,122,10,4,Online TA,0,Transient
City Hotel,1,196,10,8,Online TA,0,Transient
City Hotel,1,205,10,8,Online TA,0,Transient
City Hotel,1,35,10,11,Online TA,0,Transient
City Hotel,1,99,10,12,Direct,0,Transient
City Hotel,1,97,10,12,Direct,3,Transient
City Hotel,1,59,10,13,Direct,0,Transient
City Hotel,1,54,10,13,Online TA,0,Transient
City Hotel,1,32,10,15,Online TA,0,Transient
City Hotel,1,103,10,17,Online TA,0,Transient
City Hotel,1,46,10,25,Online TA,0,Transient
City Hotel,1,30,11,2,Online TA,0,Transient
City Hotel,1,30,11,2,Online TA,0,Transient
City Hotel,1,30,11,2,Online TA,0,Transient
City Hotel,1,74,11,4,Direct,0,Transient
City Hotel,1,76,11,6,Online TA,0,Transient
City Hotel,1,68,11,7,Online TA,2,Transient
City Hotel,1,109,11,8,Offline TA/TO,0,Transient
City Hotel,1,17,11,9,Direct,0,Transient
City Hotel,1,28,11,11,Online TA,0,Transient
City Hotel,1,20,11,11,Online TA,0,Transient
City Hotel,1,131,11,13,Online TA,0,Transient
City Hotel,1,49,11,19,Online TA,0,Transient
City Hotel,1,37,12,2,Online TA,0,Transient
City Hotel,1,37,12,2,Online TA,0,Transient
City Hotel,1,31,12,4,Online TA,0,Transient
City Hotel,1,0,12,9,Online TA,0,Transient
City Hotel,1,58,12,12,Online TA,0,Transient
City Hotel,1,18,12,17,Online TA,0,Transient
City Hotel,1,88,12,17,Online TA,2,Transient
City Hotel,1,220,12,21,Online TA,0,Transient
City Hotel,1,84,12,22,Online TA,0,Transient
City Hotel,1,84,12,22,Online TA,0,Transient
City Hotel,1,89,12,22,Online TA,0,Transient
City Hotel,1,89,12,22,Online TA,0,Transient
City Hotel,1,94,12,23,Online TA,0,Transient
City Hotel,1,94,12,23,Online TA,0,Transient
City Hotel,1,20,12,25,Online TA,0,Transient
City Hotel,1,223,12,26,Direct,0,Transient
City Hotel,1,223,12,26,Direct,0,Transient
City Hotel,1,237,12,28,Online TA,1,Transient
City Hotel,1,237,12,28,Online TA,0,Transient
City Hotel,1,237,12,28,Online TA,1,Transient
City Hotel,0,27,1,5,Offline TA/TO,1,Transient
City Hotel,0,80,1,7,Online TA,0,Transient
City Hotel,0,0,1,10,Online TA,0,Transient
City Hotel,0,48,1,8,Online TA,0,Transient
City Hotel,0,5,1,15,Online TA,0,Transient
City Hotel,0,36,1,19,Offline TA/TO,2,Transient-Party
City Hotel,0,1,1,15,Direct,0,Transient
City Hotel,0,9,1,29,Online TA,1,Transient-Party
City Hotel,0,9,2,3,Online TA,0,Transient
City Hotel,0,2,2,1,Online TA,1,Transient
City Hotel,0,15,2,5,Corporate,2,Transient-Party
City Hotel,0,0,2,10,Online TA,0,Transient
City Hotel,0,0,2,11,Direct,0,Transient
City Hotel,0,15,2,12,Offline TA/TO,0,Transient
City Hotel,0,3,2,13,Online TA,0,Transient
City Hotel,0,87,2,15,Direct,2,Transient
City Hotel,0,1,2,19,Online TA,1,Transient
City Hotel,0,22,2,19,Online TA,0,Transient
City Hotel,0,5,2,25,Online TA,0,Transient
City Hotel,0,0,2,27,Online TA,1,Transient
City Hotel,0,0,2,27,Online TA,1,Transient
City Hotel,0,9,3,7,Online TA,0,Transient
City Hotel,0,78,3,7,Offline TA/TO,0,Transient
City Hotel,0,56,3,9,Online TA,0,Transient
City Hotel,0,3,3,8,Online TA,1,Transient
City Hotel,0,44,3,9,Online TA,0,Transient
City Hotel,0,133,3,11,Offline TA/TO,0,Transient-Party
City Hotel,0,133,3,11,Offline TA/TO,0,Transient-Party
City Hotel,0,133,3,11,Offline TA/TO,0,Transient-Party
City Hotel,0,133,3,11,Offline TA/TO,0,Transient-Party
City Hotel,0,133,3,11,Offline TA/TO,0,Transient-Party
City Hotel,0,133,3,11,Offline TA/TO,0,Transient-Party
City Hotel,0,133,3,11,Offline TA/TO,0,Transient-Party
City Hotel,0,133,3,11,Offline TA/TO,0,Transient-Party
City Hotel,0,133,3,11,Offline TA/TO,0,Transient-Party
City Hotel,0,133,3,11,Offline TA/TO,1,Transient-Party
City Hotel,0,133,3,11,Offline TA/TO,0,Transient-Party
City Hotel,0,62,3,11,Online TA,0,Transient
City Hotel,0,133,3,11,Offline TA/TO,0,Transient-Party
City Hotel,0,52,3,13,Online TA,0,Transient
City Hotel,0,5,3,19,Groups,0,Transient-Party
City Hotel,0,5,3,19,Groups,0,Transient-Party
City Hotel,0,5,3,19,Groups,0,Transient-Party
City Hotel,0,5,3,19,Groups,1,Transient-Party
City Hotel,0,5,3,19,Groups,1,Transient-Party
City Hotel,0,64,3,18,Online TA,0,Transient-Party
City Hotel,0,5,3,19,Groups,0,Transient-Party
City Hotel,0,5,3,19,Groups,1,Transient-Party
City Hotel,0,5,3,19,Groups,0,Transient-Party
City Hotel,0,5,3,19,Groups,0,Transient-Party
